"SFE-1","SFE-2","Gene 1","Gene 2","Direction","Select Score","wMI p-value","Significance","Tumor Count","More Details"
"MUT.PTEN","MUT.TP53","PTEN","TP53","ME","0.0043780425","0","significant_robust","8",""
"MUT.PIK3CA","DEL.consensus.chr10:89512346-90611800","PIK3CA","PTEN","ME","0.0040302217","0.0004","significant_robust","5",""
"MUT.PTEN","AMP.pc32_CNA.chr1:120457918-120521760","PTEN","NOTCH2","ME","0.005152461","0.0016","significant_robust","4",""
"DEL.consensus.chr10:89512346-90611800","DEL.pc32_CNA.chr8:26150061-26230632","PTEN","PPP2R2A","ME","0.0048808037","0","significant_robust","4",""
"AMP.consensus.chr12:69201956-70234066","DEL.consensus.chr10:89512346-90611800","MDM2","PTEN","ME","0.0045087047","0.0024","significant_robust","4",""
"MUT.PTEN","AMP.merged.chr8:120885957-129581304","PTEN","DEPTOR,MYC","ME","0.0031791452","0.0094","significant_robust","4",""
"MUT.PTEN","DEL.consensus.chr10:89512346-90611800","PTEN","PTEN","ME","0.0025121717","0.0316","significant_permissive","4",""
"DEL.consensus.chr10:89512346-90611800","DEL.consensus.chr4:187186290-187647876","PTEN","FAT1","ME","0.0051053066","0.0002","significant_robust","3",""
"DEL.consensus.chr10:89512346-90611800","DEL.consensus.chr4:183089197-186421724","PTEN","IRF2","ME","0.0044947325","0","significant_robust","3",""
"MUT.ARID1A","DEL.consensus.chr10:89512346-90611800","ARID1A","PTEN","ME","0.0035605403","0.0038","significant_robust","3",""
"MUT.PTEN","AMP.merged.chr17:37736785-38513094","PTEN","ERBB2,RARA","ME","0.0057639621","0.0008","significant_robust","2",""
"MUT.NF1","DEL.consensus.chr10:89512346-90611800","NF1","PTEN","ME","0.0026765512","0.0128","significant_permissive","2",""
"DEL.consensus.chr5:111962676-112181936","DEL.consensus.chr10:89512346-90611800","APC","PTEN","ME","0.0026368571","0","significant_permissive","2",""
"DEL.consensus.chr10:89512346-90611800","FUSION.TMPRSS2","PTEN","TMPRSS2","CO","0.008203313","0","significant_robust","1",""
"DEL.consensus.chr10:89512346-90611800","DEL.pc32_CNA.chr16:77819679-79246771","PTEN","WWOX","ME","0.0059219139","0","significant_robust","1",""
"MUT.CTCF","MUT.PTEN","CTCF","PTEN","CO","0.0057115467","0.0082","significant_robust","1",""
"MUT.PIK3R1","MUT.PTEN","PIK3R1","PTEN","CO","0.0050973217","0.0154","significant_robust","1",""
"MUT.PTEN","MUT.RPL22","PTEN","RPL22","CO","0.0049646466","0.0044","significant_robust","1",""
"MUT.CTNNB1","MUT.PTEN","CTNNB1","PTEN","CO","0.0034832632","0.0088","significant_robust","1",""
"MUT.FGFR2","MUT.PTEN","FGFR2","PTEN","CO","0.0031566555","0.026","significant_robust","1",""
"DEL.consensus.chr10:89512346-90611800","DEL.consensus.chr9:8312601-10617850","PTEN","PTPRD","ME","0.0027042227","0.0002","significant_permissive","1",""
"MUT.GATA3","MUT.PTEN","GATA3","PTEN","ME","0.0025760884","0.0016","significant_permissive","1",""
"MUT.AKT1","MUT.PTEN","AKT1","PTEN","ME","0.0033025857","0","significant_robust","0",""
"MUT.PTEN","DEL.consensus.chr7:151571667-152373250","PTEN","KMT2C,XRCC2","ME","0.0032326516","0.033","significant_robust","0",""
"AMP.consensus.chr3:12484849-12705725","DEL.consensus.chr10:89512346-90611800","RAF1","PTEN","ME","0.0029243971","0.0266","significant_permissive","0",""
"MUT.PTEN","AMP.consensus.chr19:18263968-18515741","PTEN","PIK3R2","ME","0.0026860109","0.0136","significant_permissive","0",""
"MUT.PTEN","DEL.merged.chr5:55230831-56191979","PTEN","IL6ST,MAP3K1","ME","0.0026074789","0.0848","significant_permissive","0",""
"MUT.CCND1","MUT.PTEN","CCND1","PTEN","CO","0.0025309945","0.062","significant_permissive","0",""
