gene_pair_ko	reduce_dep	motif	side	SFE_2	SFE_1	support_1	support_2	overlap	max_overlap	freq_overlap	int_type	r_overlap	r_freq_overlap	wMI_stat	E.r.wMI_stat	ME_p.value	wMI_p.value	APC	direction	dMI	ME_good	wMI_good	APC_good	significance	genes_1	genes_2	alt_1	alt_2	gene_1	gene_2	p_anova	bf	driver/driver_n	driver/wt_n	wt/driver_n	WT_n	driver/driver_median	driver/wt_median	wt/driver_median	WT_median	posthoc_bf_direct.1_s1	posthoc_bf_direct.1_s2	posthoc_bf_indirect.1_s1	posthoc_bf_indirect.1_s2	posthoc_bf_indirect.3_s1	posthoc_bf_indirect.3_s2	posthoc_bf_combo.1_s1	posthoc_bf_combo.1_s2	posthoc_bf_combo.3_s1	posthoc_bf_combo.3_s2	driver/wt - driver/driver	wt/driver - driver/driver	driver/driver - WT	wt/driver - driver/wt	driver/wt - WT	wt/driver - WT	role_1	role_2	center	dd	dw	wd	ww	ko_on	important_diff	important_posthoc_anova_p	important_posthoc_bf	important_bf.ratio	important_normalized_effect_diff	important_posthoc_bf_direct	important_posthoc_bf_indirect	experiment	input_motif	ko_gene	gene.1_gene.2_ko	gene.pair	motif_ko	uid	significant_diff	lev	n_sig	n_precise	n	consistent
BRAF--APC__BRAF	FALSE	MUT.APC_APC/MUT.BRAF_BRAF	second	MUT.BRAF	MUT.APC	489	599	22	91	0.241758241758242	MUT - MUT	33.7268	0.370624175824176	0.030227081008545	0.021869992280989	0.0004	0.0004	0.006614502693057	ME	0.008357088727555	TRUE	TRUE	TRUE	significant_robust	APC	BRAF	MUT	MUT	APC	BRAF	4.66747566355068E-19	2.28416307046544E+020	9	18	24	144	-2.072	0.012	-1.3415	0.119	23066.4698019006	1.98299678502925	6.39940276468301E+020	2591357660334.98	7671026112646.28	183501223168516	6.39940276468301E+020	2591357660334.98	7671026112646.28	183501223168516	0	2.72078623630989E-07	NA	0.005183088894299	NA	1.30904080024585E-05	tsg	og	-0.842966941244206	-1.38580019004007	0.712003604682654	-0.270205073998917	0.944001659356338	og	-0.7305	2.72078623630989E-07	NA	NA	-1.11559511604116	1.98299678502925	183501223168516	DRIVE_ataris	MUT.APC/MUT.BRAF	BRAF	APC__BRAF__BRAF	BRAF--APC	MUT.APC/MUT.BRAF__BRAF	MUT.APC_APC/MUT.BRAF_BRAF__BRAF__DRIVE_ataris	TRUE	event_exc	7	7	4	TRUE
BRAF--APC__BRAF	FALSE	MUT.APC_APC/MUT.BRAF_BRAF	second	MUT.BRAF	MUT.APC	489	599	22	91	0.241758241758242	MUT - MUT	33.7268	0.370624175824176	0.030227081008545	0.021869992280989	0.0004	0.0004	0.006614502693057	ME	0.008357088727555	TRUE	TRUE	TRUE	significant_robust	APC	BRAF	MUT	MUT	APC	BRAF	1.73768994873584E-20	1.17235605147505E+019	12	28	61	247	-0.715803279658781	-0.024956168842151	-0.533293577080418	-6.38920563715917E-05	262.760223521546	5.66144165409707	4.36267394075531E+019	4008607502.74499	28490132977.6755	175334555685.514	4.36267394075531E+019	4008607502.74499	28490132977.6755	175334555685.514	0	1.49838927931967E-08	NA	0.013260487438549	NA	6.01354846807567E-07	tsg	og	-0.333540780341541	-0.565864832878887	0.258801764079948	-0.00080204351431	0.307865112313249	og	-0.182509702578363	1.49838927931967E-08	NA	NA	-0.565062789364577	5.66144165409707	175334555685.514	DEMETER2	MUT.APC/MUT.BRAF	BRAF	APC__BRAF__BRAF	BRAF--APC	MUT.APC/MUT.BRAF__BRAF	MUT.APC_APC/MUT.BRAF_BRAF__BRAF__DEMETER2	TRUE	gene	7	7	4	TRUE
BRAF--APC__BRAF	FALSE	MUT.APC_APC/MUT.BRAF_BRAF	second	MUT.BRAF	MUT.APC	489	599	22	91	0.241758241758242	MUT - MUT	33.7268	0.370624175824176	0.030227081008545	0.021869992280989	0.0004	0.0004	0.006614502693057	ME	0.008357088727555	TRUE	TRUE	TRUE	significant_robust	APC	BRAF	MUT	MUT	APC	BRAF	9.53440674204245E-11	4829896090.76678	11	19	35	107	-1.699	-0.035	-1.743	0.135	338.188469810874	1.05934852395665	15132503122.6009	148694.497097917	602602.578936141	1769437.02108294	15132503122.6009	148694.497097917	602602.578936141	1769437.02108294	2.25560903288624E-10	0.001202450904636	NA	0.030134702790864	NA	0.000191868431732	tsg	og	-0.691802121217794	-1.06881457924087	0.547639620700379	-0.254154939897855	0.77532989843835	og	0.044	0.001202450904636	NA	NA	-0.814659639343019	1.05934852395665	1769437.02108294	DRIVE_ataris	MUT.APC/MUT.BRAF	BRAF	APC__BRAF__BRAF	BRAF--APC	MUT.APC/MUT.BRAF__BRAF	MUT.APC_APC/MUT.BRAF_BRAF__BRAF__DRIVE_ataris	TRUE	gene	7	7	4	TRUE
BRAF--APC__BRAF	FALSE	MUT.APC_APC/MUT.BRAF_BRAF	second	MUT.BRAF	MUT.APC	489	599	22	91	0.241758241758242	MUT - MUT	33.7268	0.370624175824176	0.030227081008545	0.021869992280989	0.0004	0.0004	0.006614502693057	ME	0.008357088727555	TRUE	TRUE	TRUE	significant_robust	APC	BRAF	MUT	MUT	APC	BRAF	1.16596033226222E-32	4.32110840277592E+037	6	16	31	212	-0.835442088342906	-0.150375358956733	-0.818527317034869	-0.061310542058429	444.58527925644	0.727661954041618	1.10714117407063E+038	6958025.97927634	168241963.640966	2051633.7664763	1.10714117407063E+038	1	168241963.640966	1	5.32907051820075E-15	0.089122261968638	NA	6.75157707519247E-11	NA	0	tsg	og	-0.446987280248723	-0.324215208437734	0.258944627473114	-0.286430753425525	0.351701334390146	og	-0.016914771308037	0.089122261968638	NA	NA	-0.03778445501221	0.727661954041618	2051633.7664763	AVANA	MUT.APC/MUT.BRAF	BRAF	APC__BRAF__BRAF	BRAF--APC	MUT.APC/MUT.BRAF__BRAF	MUT.APC_APC/MUT.BRAF_BRAF__BRAF__AVANA	FALSE	event_inc	7	7	4	TRUE
BRAF--APC__BRAF	FALSE	MUT.APC_APC/MUT.BRAF_BRAF	second	MUT.BRAF	MUT.APC	489	599	22	91	0.241758241758242	MUT - MUT	33.7268	0.370624175824176	0.030227081008545	0.021869992280989	0.0004	0.0004	0.006614502693057	ME	0.008357088727555	TRUE	TRUE	TRUE	significant_robust	APC	BRAF	MUT	MUT	APC	BRAF	1.12508996933549E-32	1.17891506890199E+034	10	24	40	271	-0.903768509799636	-0.036655122061046	-0.526823785876355	0.004503310304592	1362.71960403471	8.2851732116697	4.03501484619395E+034	308720505488186	1824190696357190	1.95520550225475E+017	4.03501484619395E+034	308720505488186	1824190696357190	1.95520550225475E+017	0	2.40207853607899E-12	NA	0.000306206439979	NA	2.70343747388324E-11	tsg	og	-0.411966689576789	-0.687586376977308	0.335505354297414	-0.049575918009616	0.40165694068951	og	-0.376944723923281	2.40207853607899E-12	NA	NA	-0.638010458967692	8.2851732116697	1.95520550225475E+017	DEMETER2	MUT.APC/MUT.BRAF	BRAF	APC__BRAF__BRAF	BRAF--APC	MUT.APC/MUT.BRAF__BRAF	MUT.APC_APC/MUT.BRAF_BRAF__BRAF__DEMETER2	TRUE	event_exc	7	7	4	TRUE
BRAF--APC__BRAF	FALSE	MUT.APC_APC/MUT.BRAF_BRAF	second	MUT.BRAF	MUT.APC	489	599	22	91	0.241758241758242	MUT - MUT	33.7268	0.370624175824176	0.030227081008545	0.021869992280989	0.0004	0.0004	0.006614502693057	ME	0.008357088727555	TRUE	TRUE	TRUE	significant_robust	APC	BRAF	MUT	MUT	APC	BRAF	1.66232636297235E-30	3.0714239872422E+031	10	25	53	271	-0.903768509799636	-0.046026486413258	-0.629681358710898	0.004503310304592	1611.06483590065	8.83846302346884	1.10402409218978E+032	135203528709268	560094642195276	685515060181770	1.10402409218978E+032	135203528709268	560094642195276	685515060181770	0	8.10793654437703E-11	NA	0.000439383436756	NA	3.4721558961337E-11	tsg	og	-0.428363912236057	-0.681711036586246	0.330012492627721	-0.060128266763158	0.411826810721684	og	-0.274087151088738	8.10793654437703E-11	NA	NA	-0.621582769823088	8.83846302346884	685515060181770	DEMETER2	MUT.APC/MUT.BRAF	BRAF	APC__BRAF__BRAF	BRAF--APC	MUT.APC/MUT.BRAF__BRAF	MUT.APC_APC/MUT.BRAF_BRAF__BRAF__DEMETER2	TRUE	event_inc	7	7	4	TRUE
BRAF--APC__BRAF	FALSE	MUT.APC_APC/MUT.BRAF_BRAF	second	MUT.BRAF	MUT.APC	489	599	22	91	0.241758241758242	MUT - MUT	33.7268	0.370624175824176	0.030227081008545	0.021869992280989	0.0004	0.0004	0.006614502693057	ME	0.008357088727555	TRUE	TRUE	TRUE	significant_robust	APC	BRAF	MUT	MUT	APC	BRAF	2.83901292682054E-17	2.48838153136663E+018	9	19	35	144	-2.072	-0.035	-1.743	0.119	27419.5607263652	2.16959494536504	7.89203752103163E+018	129848714911.78	448484357240.109	1131116907366.6	7.89203752103163E+018	129848714911.78	448484357240.109	1131116907366.6	0	3.41625885669217E-06	NA	0.007458277160539	NA	1.61505173621457E-05	tsg	og	-0.886670528857284	-1.3676673497716	0.701954274326522	-0.318987321123041	0.984700396568122	og	-0.329	3.41625885669217E-06	NA	NA	-1.04868002864856	2.16959494536504	1131116907366.6	DRIVE_ataris	MUT.APC/MUT.BRAF	BRAF	APC__BRAF__BRAF	BRAF--APC	MUT.APC/MUT.BRAF__BRAF	MUT.APC_APC/MUT.BRAF_BRAF__BRAF__DRIVE_ataris	TRUE	event_inc	7	7	4	TRUE
BRAF--APC__BRAF	FALSE	MUT.APC_APC/MUT.BRAF_BRAF	second	MUT.BRAF	MUT.APC	489	599	22	91	0.241758241758242	MUT - MUT	33.7268	0.370624175824176	0.030227081008545	0.021869992280989	0.0004	0.0004	0.006614502693057	ME	0.008357088727555	TRUE	TRUE	TRUE	significant_robust	APC	BRAF	MUT	MUT	APC	BRAF	1.10332146314045E-15	412237285483224	7	16	39	189	-0.780783543312375	-0.150375358956733	-0.712877240605469	-0.060743329270172	29.8869015567533	1.21895249909981	1189754021050400	9925.46921082861	80159.3697357204	26637.6210419997	1189754021050400	9925.46921082861	80159.3697357204	26637.6210419997	6.22129459060261E-09	0.012977588820312	NA	0.000332823354077	NA	1.16026743768316E-10	tsg	og	-0.320953505570438	-0.271370516729515	0.165445078607121	-0.09844113833324	0.204366576455633	og	-0.067906302706905	0.012977588820312	NA	NA	-0.172929378396275	1.21895249909981	26637.6210419997	AVANA	MUT.APC/MUT.BRAF	BRAF	APC__BRAF__BRAF	BRAF--APC	MUT.APC/MUT.BRAF__BRAF	MUT.APC_APC/MUT.BRAF_BRAF__BRAF__AVANA	TRUE	gene	7	7	4	TRUE
BRAF--APC__BRAF	FALSE	MUT.APC_APC/MUT.BRAF_BRAF	second	MUT.BRAF	MUT.APC	489	599	22	91	0.241758241758242	MUT - MUT	33.7268	0.370624175824176	0.030227081008545	0.021869992280989	0.0004	0.0004	0.006614502693057	ME	0.008357088727555	TRUE	TRUE	TRUE	significant_robust	APC	BRAF	MUT	MUT	APC	BRAF	0.000255902674963	6928.30759269209	6	7	5	67	-0.287331776270095	1.42433342302679	-0.34226524358712	1.44299900952016	7.68771953206311	0.582972904554181	18615.6789506113	29.5406067660173	206.01389213784	22.3221668104397	18615.6789506113	1	206.01389213784	1	0.001005540794243	0.935804847048903	NA	0.079162790874175	NA	0.009222881348799	tsg	og	0.635579056864205	-0.756248062599927	0.62968528374958	-0.705286919002856	0.831849697853202	og	0.054933467317025	0.935804847048903	NA	NA	-0.050961143597071	0.582972904554181	22.3221668104397	SCORE	MUT.APC/MUT.BRAF	BRAF	APC__BRAF__BRAF	BRAF--APC	MUT.APC/MUT.BRAF__BRAF	MUT.APC_APC/MUT.BRAF_BRAF__BRAF__SCORE	FALSE	event_inc	7	7	4	TRUE
BRAF--APC__BRAF	FALSE	MUT.APC_APC/MUT.BRAF_BRAF	second	MUT.BRAF	MUT.APC	489	599	22	91	0.241758241758242	MUT - MUT	33.7268	0.370624175824176	0.030227081008545	0.021869992280989	0.0004	0.0004	0.006614502693057	ME	0.008357088727555	TRUE	TRUE	TRUE	significant_robust	APC	BRAF	MUT	MUT	APC	BRAF	1.59555864838577E-32	5.44737555624197E+037	6	16	24	212	-0.835442088342906	-0.150375358956733	-0.771035059393959	-0.061310542058429	427.477738280538	0.684420841346467	1.46574811006153E+038	7288500.76343639	464527086.904947	422851.863448137	1.46574811006153E+038	1	464527086.904947	1	3.10862446895044E-15	0.073586850707574	NA	7.78805908652203E-11	NA	0	tsg	og	-0.440887372075474	-0.326137733571286	0.25458519156088	-0.275341329553755	0.346893871564161	og	-0.064407028948947	0.073586850707574	NA	NA	-0.050796404017531	0.684420841346467	422851.863448137	AVANA	MUT.APC/MUT.BRAF	BRAF	APC__BRAF__BRAF	BRAF--APC	MUT.APC/MUT.BRAF__BRAF	MUT.APC_APC/MUT.BRAF_BRAF__BRAF__AVANA	FALSE	event_exc	7	7	4	TRUE
